SOURCE_NAME,TARGET_NAME,VALUE,SOURCE_ID,TARGET_ID
Crude oil and condensate production,Crude oil and condensate,677,0,2
Crude oil imports,Crude oil and condensate,842,1,2
Stocks and Discrepancies back in,Crude oil and condensate,-150,45,2
Crude oil and condensate,Exports,545,2,34
Crude oil and condensate,Refinery,824,2,3
Refinery,Own Use and Losses,77,3,35
Refinery,Refined Fuels,-1092,3,5
Refined Products Imports,Refined Fuels,1368,4,5
Refinery,Stocks and Discrepancies,83,45,3
Refinery,Thermal Power Station,51,3,30
Refinery,Exports,37,3,34
Refined Fuels,Transport,1681,5,36
Refined Fuels,Manufacturing,84.4,5,37
Refined Fuels,Mining,263,5,38
Refined Fuels,Residential,0,5,39
Refined Fuels,Commercial & Services,28,5,40
Refined Fuels,Agriculture,92,5,41
Refined Fuels,Construction,20,5,42
Refined Fuels,Other,50,5,43
Naturally Occuring LPG Production,LPG,98,6,9
LPG,Imports,22,9,33
Stocks and Discrepancies back in,LPG,9,45,9
LPG,Refined Fuels,-24,9,5
LPG,Exports,80,9,34
Natural Gas & Ethane Production,Natural Gas,5706,10,11
Natural Gas,Imports,202,11,33
Natural Gas,Exports,4093,11,34
Stocks and Discrepancies back in,Natural Gas,14,45,11
Coal Seam Gas Production,Gas,1439,14,16
Bio Fuels Bio Gas Production,Bio Fuels Bio Gas,24,26,25
Gas Imports,Gas,187,15,16
Gas,Thermal Power Station,572,16,30
Gas,Refinery,1,16,3
Gas,Own Use and Losses,39,16,35
Gas,Exports,3376,16,34
Stocks and Discrepancies back in,Gas,13,45,16
Gas,Transport,4,16,36
Gas,Manufacturing,363,16,37
Gas,Mining,345,16,38
Gas,Residential,166,16,39
Gas,Commercial & Services,61,16,40
Gas,Agriculture,1,16,41
Gas,Construction,3,16,42
Black Coal,Coal,12594,17,20
Brown Coal,Coal,444,18,20
Coal Imports,Coal,5,19,20
Coal,Thermal Power Station,1642,20,30
Coal,Stocks and Discrepancies,104,20,32
Coal,Own Use and Losses,91,20,35
Coal,Exports,11131,20,34
Coal,Manufacturing,96,20,37
Coal,Mining,4,20,38
Coal,Commercial & Services,0,20,40
Hydro Electricity,Electricity,58,21,31
Wind Electricity,Electricity,64,22,31
Solar Electricity,Electricity,53.45,23,31
Solar Hotwater,Residential,17,24,39
Solar Hotwater,Commercial & Services,0.5,24,40
Bio Fuels Bio Gas,Thermal Power Station,14,25,30
Bagasse,Thermal Power Station,17,27,30
Wood,Thermal Power Station,17,28,30
Wood Production,Wood,92,29,28
Thermal Power Station,Electricity,690,30,31
Bio Fuels Bio Gas,Transport,6,25,36
Bio Fuels Bio Gas,Manufacturing,2,25,37
Bio Fuels Bio Gas,Commercial & Services,0,25,40
Bagasse,Manufacturing,0,27,37
Bagasse,"Food, beverages, textiles",77,27,51
Wood,Manufacturing,26,28,37
Wood,Residential,48,28,39
Wood,Commercial & Services,0,28,40
Thermal Power Station,Own Use and Losses,1623,30,35
Electricity,Transport,21,31,36
Electricity,Manufacturing,199,31,37
Electricity,Mining,149,31,38
Electricity,Residential,211,31,39
Electricity,Commercial & Services,244,31,40
Electricity,Agriculture,8,31,41
Electricity,Construction,1,31,42
Thermal Power Station,Refinery Electricity,3,30,44
Refinery Electricity,Own Use and Losses,3,44,35
Transport,Road Transport,1215,36,46
Transport,Rail Transport,13,36,47
Transport,Air Transport,12,36,48
Transport,Water Transport,2,36,49
Transport,Other Transport,0.4,36,50
Manufacturing,"Food, beverages, textiles",161,37,51
Manufacturing,"Wood, paper and printing",58,37,52
Manufacturing,Chemical,196,37,53
Manufacturing,Iron and steel,29,37,54
Manufacturing,Non-ferrous metals,337,37,55
